v1,v2,v3,v4,v5,v6
PConcordia,KRI(pickup):(32):::1589321449.56,CHAIN,KRI(pickup):(33):::1589321449.59!!KRI(pickup):(33):::1589321449.59!!KRI(pickup):(32):::1589321449.56!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321449.63
PConcordia,KRI(pickup):(32):::1589321449.56,CHAIN,KRI(pickup):(33):::1589321449.59!!KRI(pickup):(33):::1589321449.59!!KRI(pickup):(32):::1589321449.56!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321449.62
PConcordia,KRI(pickup):(32):::1589321449.56,CHAIN,KRI(pickup):(33):::1589321449.59!!KRI(pickup):(33):::1589321449.59!!KRI(pickup):(32):::1589321449.56!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321449.61
PConcordia,KRI(pickup):(23):::1589321449.41,CHAIN,KRI(identifier):(vper2):::1589321449.48!!KRI(identifier):(vper2):::1589321449.48!!KRI(pickup):(23):::1589321449.41!!KRI(pickup):(22):::1589321449.39!!KRI(identifier):(v):::1589321449.38!!KRI(name):(employer-contacts):!!0,,
PConcordia,KRI(pickup):(23):::1589321449.41,CHAIN,KRI(identifier):(vper2):::1589321449.48!!KRI(identifier):(vper2):::1589321449.48!!KRI(pickup):(23):::1589321449.41!!KRI(pickup):(22):::1589321449.39!!KRI(identifier):(v):::1589321449.38!!KRI(name):(employer-contacts):!!0,,1589321449.52
PConcordia,KRI(pickup):(23):::1589321449.41,CHAIN,KRI(identifier):(vper2):::1589321449.48!!KRI(identifier):(vper2):::1589321449.48!!KRI(pickup):(23):::1589321449.41!!KRI(pickup):(22):::1589321449.39!!KRI(identifier):(v):::1589321449.38!!KRI(name):(employer-contacts):!!0,,1589321449.51
PConcordia,KRI(pickup):(23):::1589321449.41,CHAIN,KRI(identifier):(vper2):::1589321449.48!!KRI(identifier):(vper2):::1589321449.48!!KRI(pickup):(23):::1589321449.41!!KRI(pickup):(22):::1589321449.39!!KRI(identifier):(v):::1589321449.38!!KRI(name):(employer-contacts):!!0,,1589321449.53
PConcordia,KRI(pickup):(23):::1589321449.41,CHAIN,KRI(identifier):(vper2):::1589321449.48!!KRI(identifier):(vper2):::1589321449.48!!KRI(pickup):(23):::1589321449.41!!KRI(pickup):(22):::1589321449.39!!KRI(identifier):(v):::1589321449.38!!KRI(name):(employer-contacts):!!0,,1589321449.49
PConcordia,KRI(pickup):(23):::1589321449.41,CHAIN,KRI(identifier):(vper2):::1589321449.48!!KRI(identifier):(vper2):::1589321449.48!!KRI(pickup):(23):::1589321449.41!!KRI(pickup):(22):::1589321449.39!!KRI(identifier):(v):::1589321449.38!!KRI(name):(employer-contacts):!!0,,1589321449.5
PConcordia,KRI(pickup):(23):::1589321449.41,CHAIN,KRI(identifier):(vper):::1589321449.44!!KRI(identifier):(vper):::1589321449.44!!KRI(pickup):(23):::1589321449.41!!KRI(pickup):(22):::1589321449.39!!KRI(identifier):(v):::1589321449.38!!KRI(name):(employer-contacts):!!0,,
